ingredient,cuisine_tags,compound,compound_concentration,target_gene,snp_gene,gene_regulation_weight,snp_impact_weight,pathway,effect,cooking_degradation_factor,vegan,nut_allergen,role,flavor_chinese,flavor_western,flavor_thai,flavor_japanese,usda_kcal_per_100g,usda_fdc_id,preparation,pmid,evidence_note,category,allergens,serving_g,prep_steam,prep_saute,prep_roast,prep_simmer,loss_steam,loss_saute,loss_roast,loss_simmer,evidence_level,flavor_indian,flavor_spanish,flavor_british
Brown rice,Chinese|Western|Thai|Japanese,Folate,12,MTHFR,MTHFR,0.6,1.3,Methylation,activation,0.10,1,0,base,78,85,80,85,123,169704,Use 100 g cooked brown rice; warm until steaming.,25788000,Indirect folate-pathway association; activation is illustrative and does not mean direct MTHFR activation.,grain,,100,"Use 100 g brown rice, already cooked; reheat with a splash of water until steaming.","Use 100 g brown rice, already cooked; reheat with a splash of water until steaming.","Use 100 g brown rice, already cooked; reheat with a splash of water until steaming.","Use 100 g brown rice, already cooked; reheat with a splash of water until steaming.",0.1,0.1,0.1,0.1,Population background,0,0,0
Tofu,Chinese|Western|Thai|Japanese,Isoflavones,60,NFE2L2,COMT,0.8,1.1,Antioxidant,activation,0.18,1,0,protein,95,55,90,95,144,172475,Steam 100 g firm tofu until heated through.,,Hypothetical antioxidant pathway mapping; COMT modifier is a demo assumption. PMID pending.,legume,soy,100,Cube 100 g tofu. Steam for 5–8 minutes until hot throughout.,"Cube 100 g tofu. Pan-cook for 6–8 minutes, turning gently, until heated through.",Cube 100 g tofu. Spread on the tray and roast for 15–20 minutes until heated through.,Cube 100 g tofu. Simmer gently for 8–10 minutes until heated through.,0.18,0.207,0.27,0.243,Hypothesis only,0,0,0
Spinach,Chinese|Western|Thai|Japanese|Indian|Spanish|British,Folate,95,MTHFR,MTHFR,0.9,1.3,Methylation,activation,0.35,1,0,vegetable,80,85,55,85,23,168462,Wash 100 g spinach and steam for 2–3 minutes until wilted.,25788000,Folate metabolism background only; no evidence for this numeric food-to-gene coefficient.,leafy,,100,Wash and chop 100 g spinach; steam for 2–3 minutes until tender.,"Wash and slice 100 g spinach; pan-cook for 2–3 minutes, stirring, until tender.",Wash and chop 100 g spinach; fold into the hot vegetables for the last 2–3 minutes until wilted.,"Wash and chop 100 g spinach; simmer for 2–3 minutes until tender, then drain.",0.35,0.402,0.525,0.472,Population background,85,85,85
Broccoli,Chinese|Western|Thai|Japanese|British,Glucosinolate proxy,85,NFE2L2,COMT,0.8,1.1,Antioxidant,activation,0.30,1,0,vegetable,75,95,65,65,34,170379,Wash and chop 100 g broccoli; steam for 4–5 minutes until tender.,,Illustrative glucosinolate-to-antioxidant mapping; precursor conversion and bioavailability are omitted. PMID pending.,cruciferous,,100,Wash and chop 100 g broccoli; steam for 5–7 minutes until tender.,"Wash and slice 100 g broccoli; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g broccoli; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g broccoli; simmer for 8–10 minutes until tender, then drain.",0.3,0.345,0.45,0.405,Hypothesis only,0,0,85
Carrot,Chinese|Western|Thai|Japanese|British,Carotenoid proxy,45,NFE2L2,COMT,0.6,1.1,Antioxidant,activation,0.12,1,0,vegetable,88,90,90,90,41,170393,Wash and slice 100 g carrot; steam for 6–8 minutes until tender.,,Hypothetical positive pathway edge; cooking may increase bioaccessibility which this loss-only model omits. PMID pending.,root,,100,Wash and chop 100 g carrot; steam for 6–8 minutes until tender.,"Wash and slice 100 g carrot; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g carrot; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g carrot; simmer for 8–10 minutes until tender, then drain.",0.12,0.138,0.18,0.162,Hypothesis only,0,0,85
Onion,Chinese|Western|Thai|Japanese|Indian|Spanish|British,Quercetin,35,COMT,COMT,-0.35,1.2,Antioxidant,inhibition,0.20,1,0,vegetable,90,95,90,80,40,170000,Peel and slice 100 g onion; steam for 6–8 minutes until soft.,15100171,In vitro COMT inhibition by quercetin; not evidence of harmful or beneficial effects from eating onion.,vegetable,,100,Wash and chop 100 g onion; steam for 5–7 minutes until tender.,"Wash and slice 100 g onion; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g onion; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g onion; simmer for 8–10 minutes until tender, then drain.",0.2,0.23,0.3,0.27,Laboratory background,85,85,85
Walnuts,Chinese|Western|Japanese,ALA proxy,80,APOE,APOE,0.7,1.2,Lipid,activation,0.05,1,1,garnish,65,90,0,45,654,170187,Chop 25 g walnuts and sprinkle over the finished bowl.,25332476,Indirect dietary-fat background; ALA does not directly activate APOE. Numeric edge is hypothetical.,nuts,nuts,25,Chop 25 g walnuts and sprinkle over the finished bowl.,Chop 25 g walnuts and sprinkle over the finished bowl.,Chop 25 g walnuts and sprinkle over the finished bowl.,Chop 25 g walnuts and sprinkle over the finished bowl.,0.05,0.05,0.05,0.05,Population background,0,0,0
Salmon,Chinese|Western|Thai|Japanese,Omega-3 proxy,95,APOE,APOE,0.8,1.2,Lipid,activation,0.15,0,0,protein,60,95,65,95,208,175167,Steam 100 g salmon until its center reaches 63°C (145°F); check with a food thermometer.,25332476,Dietary-fat and APOE trial background; not validation of salmon response or an activation coefficient.,fish,fish,100,"Steam 100 g salmon for about 8–12 minutes; the center must reach 63°C (145°F), verified with a food thermometer.","Pan-cook 100 g salmon for about 4–6 minutes per side; the center must reach 63°C (145°F), verified with a food thermometer.","Roast 100 g salmon for about 12–18 minutes; the center must reach 63°C (145°F), verified with a food thermometer.","Poach 100 g salmon for about 8–12 minutes; the center must reach 63°C (145°F), verified with a food thermometer.",0.15,0.172,0.225,0.203,Population background,0,0,0
Green peas,Chinese|Western|Thai|Japanese|Indian|British,Folate,55,MTHFR,MTHFR,0.8,1.3,Methylation,activation,0.20,1,0,vegetable,65,85,55,55,81,170419,Steam 100 g green peas for 3–5 minutes until hot and tender.,25788000,Indirect folate-pathway association; numeric contribution is an illustrative index.,legume,,100,Wash and chop 100 g green peas; steam for 5–7 minutes until tender.,"Wash and slice 100 g green peas; pan-cook for 8–10 minutes, stirring, until tender.",Wash and chop 100 g green peas; roast for 20–25 minutes until tender and lightly browned.,"Wash and chop 100 g green peas; simmer for 8–10 minutes until tender, then drain.",0.2,0.23,0.3,0.27,Population background,85,0,85
Spinach,Chinese|Western|Thai|Japanese|Indian|Spanish|British,Carotenoid proxy,35,NFE2L2,COMT,0.6,1.1,Antioxidant,activation,0.25,1,0,vegetable,80,85,55,85,23,168462,Wash 100 g spinach and steam for 2–3 minutes until wilted.,,Hypothetical antioxidant edge; not direct gene activation. PMID pending.,leafy,,100,Wash and chop 100 g spinach; steam for 2–3 minutes until tender.,"Wash and slice 100 g spinach; pan-cook for 2–3 minutes, stirring, until tender.",Wash and chop 100 g spinach; fold into the hot vegetables for the last 2–3 minutes until wilted.,"Wash and chop 100 g spinach; simmer for 2–3 minutes until tender, then drain.",0.25,0.287,0.375,0.338,Hypothesis only,85,85,85
